x_m,y_m,z_m,T_ice,T_ftst_interp,abs_err,pct_err
0.0003,0.0077,0.005001,25.4163,25.4162,9.999999999976694e-05,0.00039344829892534717
0.0003,0.0078,0.005001,25.4025,25.4024,9.999999999976694e-05,0.0003936620411367504
0.0003,0.0079,0.005001,25.3882,25.3881,9.999999999976694e-05,0.00039388377277539563
0.0003,0.008,0.005001,25.3734,25.3733,9.999999999976694e-05,0.00039411352045749885
0.0003,0.0081,0.005001,25.3582,25.3581,9.999999999976694e-05,0.0003943497566852655
0.0003,0.0082,0.005001,25.3424,25.3423,9.999999999976694e-05,0.000394595618409318
0.0003,0.0083,0.005001,25.3262,25.3262,0.0,0.0
0.0003,0.0084,0.005001,25.3096,25.3095,9.999999999976694e-05,0.0003951069949733026
0.0003,0.0085,0.005001,25.2926,25.2925,9.999999999976694e-05,0.000395372559561939
0.0003,0.0086,0.005001,25.2751,25.275,9.999999999976694e-05,0.000395646308025539
0.0003,0.0087,0.005001,25.2572,25.2571,9.999999999976694e-05,0.000395926706047238
